SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,217.7,217.8,212.16,213.87,219.21,65908,141.69,2026-09-24
21STCENMGM,EQ,40.0,40.0,39.16,39.77,39.92,3133,1.25,2026-09-24
360ONE,EQ,1099.5,1103.0,1066.9,1080.8,1108.0,1356395,14639.16,2026-09-24
3BBLACKBIO,EQ,1425.0,1425.0,1391.0,1406.0,1431.6,6962,98.03,2026-09-24
3MINDIA,EQ,34600.0,34790.0,34285.0,34590.0,34615.0,1608,556.14,2026-09-24
3PLAND,EQ,31.5,31.5,30.51,30.52,30.91,302,0.09,2026-09-24
5PAISA,EQ,318.15,318.15,305.15,308.4,318.15,26049,80.92,2026-09-24
63MOONS,EQ,849.15,891.9,840.2,862.9,852.95,561321,4890.73,2026-09-24
A2ZINFRA,EQ,14.9,15.15,14.71,14.74,14.79,236843,35.19,2026-09-24
AAATECH,EQ,94.16,95.98,90.25,91.84,93.56,128773,121.03,2026-09-24
AADHARHFC,EQ,454.2,454.2,444.3,446.7,454.55,183120,819.38,2026-09-24
AAKASH,EQ,9.12,9.5,8.91,9.09,9.13,288598,26.59,2026-09-24
AAREYDRUGS,EQ,101.75,101.78,99.5,100.26,102.63,350999,352.24,2026-09-24
AARON,EQ,122.6,125.0,115.5,116.68,122.6,48639,57.64,2026-09-24
AARTIDRUGS,EQ,436.35,450.2,434.6,437.25,436.25,387992,1720.27,2026-09-24
AARTIIND,EQ,487.65,492.2,484.05,489.45,491.35,291316,1421.1,2026-09-24
AARTIPHARM,EQ,934.5,957.0,923.35,934.25,940.1,800441,7546.21,2026-09-24
AARVI,EQ,137.16,138.48,135.25,135.85,136.48,8657,11.81,2026-09-24
AASTHA,EQ,96.0,96.0,80.8,80.8,89.77,3696534,3048.94,2026-09-24
AAVAS,EQ,1270.0,1270.0,1243.0,1256.4,1285.8,88763,1115.68,2026-09-24
ABANSENT,EQ,27.34,27.34,26.35,27.25,26.86,2166,0.58,2026-09-24
ABB,EQ,7080.0,7144.5,7062.5,7129.0,7120.0,141360,10059.58,2026-09-24
ABBOTINDIA,EQ,26910.0,27225.0,26780.0,26860.0,26935.0,4496,1213.17,2026-09-24
ABCAPITAL,EQ,394.6,401.7,388.5,390.1,402.45,4053381,15958.85,2026-09-24
ABCOTS,EQ,202.0,207.9,200.98,201.58,203.57,5289,10.65,2026-09-24
ABDL,EQ,660.0,722.0,650.0,712.15,656.4,6590774,45708.41,2026-09-24
ABFRL,EQ,49.0,49.0,47.94,48.06,49.09,5072424,2447.52,2026-09-24
ABGSEC,EQ,113.62,114.1,113.56,113.95,114.39,1465,1.67,2026-09-24
ABLBL,EQ,80.0,80.08,77.78,78.59,79.81,942973,742.56,2026-09-24
ABMKNO,EQ,172.01,174.99,167.2,170.8,171.41,1253,2.11,2026-09-24
ABREL,EQ,1200.0,1262.9,1189.6,1211.8,1206.4,500792,6181.35,2026-09-24
ABSL10BANK,EQ,162.16,164.51,162.16,164.16,166.32,292,0.48,2026-09-24
ABSLAMC,EQ,1020.0,1030.3,1013.7,1024.2,1026.6,67545,689.74,2026-09-24
ABSLBANETF,EQ,59.11,59.11,56.81,57.26,57.95,153368,87.61,2026-09-24
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.01,1000.0,5882,58.82,2026-09-24
ABSLMSCIN,EQ,28.81,28.81,28.45,28.51,29.03,539,0.15,2026-09-24
ABSLNN50ET,EQ,75.0,76.13,75.0,75.26,76.24,4562,3.45,2026-09-24
ABSLPSE,EQ,10.02,10.22,9.89,9.97,10.02,123310,12.32,2026-09-24
ACC,EQ,1247.0,1247.1,1230.5,1236.1,1251.4,89640,1108.96,2026-09-24
ACCELYA,EQ,1124.6,1124.6,1115.0,1120.9,1124.6,5200,58.25,2026-09-24
ACE,EQ,1250.0,1254.4,1234.0,1241.0,1253.9,270648,3364.38,2026-09-24
ACEINTEG,EQ,17.78,17.87,17.49,17.71,17.43,920,0.16,2026-09-24
ACGL,EQ,1731.8,1760.0,1700.0,1716.5,1731.8,781,13.47,2026-09-24
ACI,EQ,470.0,496.0,470.0,491.4,474.6,435141,2109.3,2026-09-24
ACL,EQ,42.58,42.79,42.1,42.56,42.58,4530,1.92,2026-09-24
ACMESOLAR,EQ,454.8,459.45,444.15,446.65,452.3,1545806,6981.25,2026-09-24
ACUTAAS,EQ,3232.0,3366.6,3232.0,3283.7,3265.2,321801,10666.07,2026-09-24
ADANIENSOL,EQ,1367.0,1371.4,1335.1,1340.5,1380.0,1837547,24798.79,2026-09-24
ADANIENT,EQ,2978.0,2978.0,2898.2,2900.0,2993.2,1082462,31726.2,2026-09-24
ADANIGREEN,EQ,1295.0,1309.8,1277.8,1280.1,1300.9,2379526,30810.27,2026-09-24
ADANIPORTS,EQ,1802.4,1802.4,1775.0,1785.3,1807.3,1589739,28407.34,2026-09-24
ADANIPOWER,EQ,203.8,203.8,198.8,199.48,204.8,20283670,40843.46,2026-09-24
ADDIND,EQ,74.05,80.0,73.55,76.99,74.05,128,0.1,2026-09-24
ADFFOODS,EQ,266.8,273.9,264.2,271.65,268.05,85764,232.26,2026-09-24
ADL,EQ,78.9,78.9,68.0,69.82,69.87,1669,1.2,2026-09-24
ADOR,EQ,1597.0,1655.0,1590.0,1612.9,1598.0,33616,548.58,2026-09-24
ADROITINFO,EQ,13.88,13.91,12.61,12.73,13.53,170767,22.61,2026-09-24
ADSL,EQ,97.1,98.69,95.62,96.27,97.78,123273,119.16,2026-09-24
ADVAIT,EQ,1975.0,1980.9,1915.3,1922.4,1976.8,34484,670.56,2026-09-24
ADVANCE,EQ,118.0,122.49,118.0,118.67,119.37,197531,237.03,2026-09-24
ADVANIHOTR,EQ,47.57,48.48,47.55,47.75,47.57,15922,7.6,2026-09-24
ADVENTHTL,EQ,128.57,128.78,126.0,127.04,130.36,133111,169.23,2026-09-24
ADVENZYMES,EQ,295.0,300.05,291.85,292.75,297.0,205547,609.7,2026-09-24
ADVIKCA,EQ,1.01,1.03,0.96,0.99,1.01,177622,1.78,2026-09-24
AEGISLOG,EQ,1405.8,1405.8,1348.4,1369.7,1404.5,547668,7492.2,2026-09-24
AEGISVOPAK,EQ,300.8,300.8,283.6,289.1,302.8,2451978,7090.69,2026-09-24
AEPL,EQ,16.49,16.56,16.0,16.13,16.49,12427,2.0,2026-09-24
AEQUS,EQ,241.51,247.0,239.52,242.79,243.94,1907443,4641.39,2026-09-24
AEROENTER,EQ,125.9,129.67,120.0,126.86,126.51,501763,636.54,2026-09-24
AEROFLEX,EQ,515.0,546.0,515.0,527.2,520.8,1258585,6716.6,2026-09-24
AERONEU,EQ,68.2,80.64,68.0,80.64,67.2,88367,68.33,2026-09-24
AEROPLANE,EQ,202.8,207.47,201.34,201.98,205.74,177483,361.34,2026-09-24
AETHER,EQ,1648.0,1659.0,1629.0,1646.2,1648.2,112531,1849.06,2026-09-24
AFCONS,EQ,254.0,262.5,252.95,253.75,258.3,845057,2171.61,2026-09-24
AFFLE,EQ,1574.3,1598.5,1555.7,1588.1,1584.3,99024,1557.78,2026-09-24
AFFORDABLE,EQ,174.65,183.38,169.47,177.35,174.65,60546,108.35,2026-09-24
AFIL,EQ,8.45,8.45,8.0,8.04,8.22,510964,41.3,2026-09-24
AFSL,EQ,207.4,207.4,201.2,203.47,204.56,1319,2.68,2026-09-24
AGARIND,EQ,408.7,410.0,396.1,400.05,408.65,28830,115.75,2026-09-24
AGARWALEYE,EQ,492.15,506.25,491.0,502.1,494.8,355015,1780.32,2026-09-24
AGI,EQ,837.0,837.0,819.0,821.35,837.2,93291,771.74,2026-09-24
AGIIL,EQ,268.0,273.3,267.05,271.45,268.8,1792301,4828.04,2026-09-24
AGL,EQ,14.49,14.6,13.61,13.68,14.22,1874610,260.73,2026-09-24
AGRITECH,EQ,93.0,98.5,93.0,95.76,97.83,2897,2.79,2026-09-24
AGROPHOS,EQ,24.25,24.3,23.1,24.27,24.25,13144,3.1,2026-09-24
AHCL,EQ,29.68,30.68,28.18,28.65,29.68,49040894,14342.22,2026-09-24
AHLADA,EQ,39.15,39.89,37.2,38.76,39.15,4123,1.6,2026-09-24
AHLEAST,EQ,135.57,143.0,135.55,136.41,136.36,3028,4.21,2026-09-24
AHLUCONT,EQ,578.0,590.0,571.3,582.75,580.6,46626,271.79,2026-09-24
AIAENG,EQ,3955.0,4033.6,3912.4,3953.4,3970.0,311377,12333.67,2026-09-24
AIIL,EQ,562.6,562.6,548.75,551.6,561.45,147739,817.74,2026-09-24
AIRAN,EQ,16.45,17.5,16.38,16.58,16.78,30585,5.12,2026-09-24
AIROLAM,EQ,91.24,91.24,87.01,88.34,90.79,2630,2.38,2026-09-24
AJANTPHARM,EQ,3521.1,3594.0,3521.1,3539.5,3568.1,37012,1316.0,2026-09-24
AJAXENGG,EQ,555.0,588.0,555.0,575.2,569.15,1346962,7750.53,2026-09-24
AJMERA,EQ,119.01,121.78,116.82,120.51,120.63,338485,405.73,2026-09-24
AJOONI,EQ,3.3,3.32,3.18,3.18,3.28,340761,11.01,2026-09-24
AKASH,EQ,24.65,25.4,24.5,24.51,24.76,589,0.15,2026-09-24
AKCAPIT,EQ,1746.2,1760.0,1698.2,1729.2,1753.9,1647,28.63,2026-09-24
AKG,EQ,10.0,10.33,9.6,9.76,9.97,36898,3.65,2026-09-24
AKSHAR,EQ,0.41,0.42,0.4,0.41,0.41,1589240,6.52,2026-09-24
AKUMS,EQ,824.0,836.8,813.3,817.6,823.3,218858,1804.8,2026-09-24
ALANKIT,EQ,8.04,8.1,7.8,7.91,8.04,80891,6.43,2026-09-24
ALBERTDAVD,EQ,863.6,886.0,863.6,871.1,878.55,2557,22.41,2026-09-24
ALEMBICLTD,EQ,105.0,107.85,104.5,107.18,106.04,1227728,1305.2,2026-09-24
ALFREDHE,EQ,2796.9,2830.0,2780.0,2786.8,2796.9,20,0.56,2026-09-24
ALGOQUANT,EQ,72.0,75.35,71.72,73.37,72.1,1563012,1148.46,2026-09-24
ALICON,EQ,735.65,741.85,714.45,737.8,739.05,46506,339.72,2026-09-24
ALIVUS,EQ,1390.0,1396.7,1357.3,1370.0,1383.1,39065,537.32,2026-09-24
ALKALI,EQ,99.96,99.96,96.0,96.37,101.63,55361,54.33,2026-09-24
ALKEM,EQ,5372.0,5447.0,5261.5,5326.0,5417.5,165474,8844.73,2026-09-24
ALKYLAMINE,EQ,1879.0,1895.7,1841.1,1862.5,1883.0,25203,470.31,2026-09-24
ALLCARGO,EQ,11.4,11.42,10.88,10.95,11.38,6441937,711.86,2026-09-24
ALLDIGI,EQ,780.25,784.1,762.0,771.65,780.25,4525,35.05,2026-09-24
ALLTIME,EQ,205.25,207.1,198.25,201.03,205.36,150765,302.3,2026-09-24
ALMONDZ,EQ,19.24,20.35,19.24,19.86,19.55,448919,89.47,2026-09-24
ALOKINDS,EQ,7.6,7.6,7.4,7.48,7.64,13073959,978.97,2026-09-24
ALPA,EQ,60.69,61.6,58.61,59.07,60.39,87569,52.57,2026-09-24
ALPHA,EQ,53.35,53.4,52.52,52.82,53.42,870366,461.8,2026-09-24
ALPHAETF,EQ,26.56,26.56,26.0,26.03,26.5,573387,150.26,2026-09-24
ALPINETEX,EQ,52.46,52.46,50.0,50.65,52.44,290128,148.36,2026-09-24
ALPL30IETF,EQ,27.13,27.13,26.69,26.8,27.23,154939,41.7,2026-09-24
ALUFLUOR,EQ,577.55,577.55,562.55,565.8,577.55,4903,27.76,2026-09-24
AMAGI,EQ,576.5,581.45,560.15,562.15,578.7,155822,882.71,2026-09-24
AMAL,EQ,700.05,714.35,685.0,687.65,704.3,14729,102.26,2026-09-24
AMARJOTHI,EQ,148.12,148.55,147.0,147.0,148.12,1266,1.86,2026-09-24
AMBER,EQ,7025.5,7050.0,6911.0,6911.0,7064.5,86469,6038.07,2026-09-24
AMBICAAGAR,EQ,25.57,25.87,24.32,25.39,25.45,140237,35.18,2026-09-24
AMBIKCO,EQ,1569.9,1578.0,1551.6,1556.5,1582.7,3932,61.42,2026-09-24
AMBUJACEM,EQ,390.0,390.9,382.65,384.1,392.75,912389,3523.74,2026-09-24
AMJLAND,EQ,37.6,38.5,37.23,37.32,37.97,1615,0.61,2026-09-24
AMNPLST,EQ,170.0,171.0,160.8,164.09,169.0,7235,11.85,2026-09-24
AMRUTANJAN,EQ,507.25,525.6,505.0,510.2,510.05,75103,387.98,2026-09-24
ANANDRATHI,EQ,2168.0,2185.0,2161.5,2167.4,2169.2,212941,4620.46,2026-09-24
ANANTRAJ,EQ,625.0,636.0,621.05,624.1,631.8,1717068,10786.34,2026-09-24
ANDHRAPAP,EQ,70.53,74.48,70.16,73.62,71.19,812860,591.59,2026-09-24
ANDHRSUGAR,EQ,95.0,95.14,92.51,92.98,95.2,192709,180.57,2026-09-24
ANDREWYU,EQ,28.25,28.28,26.3,26.85,28.09,181022,49.1,2026-09-24
ANGELONE,EQ,296.0,297.75,289.8,290.7,300.0,3663688,10737.79,2026-09-24
ANIKINDS,EQ,44.98,44.98,42.91,43.0,44.98,4476,1.95,2026-09-24
ANNAPURNA,EQ,132.4,132.4,128.42,131.17,130.68,34805,45.24,2026-09-24
ANNU,EQ,51.8,52.35,49.52,49.8,53.04,1047458,529.4,2026-09-24
ANSALBU,EQ,103.3,103.3,93.0,94.9,100.14,12729,12.18,2026-09-24
ANTELOPUS,EQ,1161.2,1177.0,1119.1,1130.95,1161.2,379382,4320.58,2026-09-24
ANTGRAPHIC,EQ,0.72,0.73,0.71,0.71,0.73,107802,0.77,2026-09-24
ANTHEM,EQ,877.0,898.55,876.2,885.6,881.9,404794,3600.49,2026-09-24
ANUHPHR,EQ,92.11,93.6,90.2,90.78,93.39,72865,66.65,2026-09-24
ANUP,EQ,1695.5,1715.0,1665.0,1670.1,1698.4,29114,491.34,2026-09-24
ANURAS,EQ,1189.5,1199.0,1172.0,1177.2,1193.4,215684,2556.44,2026-09-24
AONEGOLD,EQ,14.15,14.15,13.95,13.95,14.09,363524,50.92,2026-09-24
AONELIQUID,EQ,1078.15,1078.17,1078.14,1078.16,1078.01,50840,548.13,2026-09-24
AONENIFTY,EQ,9.44,9.79,9.44,9.59,9.69,159547,15.3,2026-09-24
AONESILVER,EQ,8.8,8.9,8.63,8.64,8.8,455481,39.54,2026-09-24
AONETMMQ50,EQ,10.26,10.26,10.07,10.11,10.21,133465,13.59,2026-09-24
AONETOTAL,EQ,11.98,11.98,11.54,11.57,11.72,182637,21.2,2026-09-24
APARINDS,EQ,17876.0,18143.0,17705.0,17804.0,17876.0,78141,13988.46,2026-09-24
APCL,EQ,96.99,96.99,93.63,95.27,95.93,6625,6.25,2026-09-24
APCOTEXIND,EQ,610.0,626.0,600.35,602.85,609.8,107799,661.16,2026-09-24
