SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,207.77,209.0,204.62,208.28,205.71,45744,94.7,2026-09-18
21STCENMGM,EQ,38.81,39.29,38.81,38.98,38.62,135,0.05,2026-09-18
360ONE,EQ,1060.5,1086.1,1060.5,1073.1,1061.3,519067,5594.95,2026-09-18
3BBLACKBIO,EQ,1313.5,1328.7,1289.8,1319.3,1290.8,6766,87.92,2026-09-18
3MINDIA,EQ,32530.0,34450.0,32380.0,34095.0,32530.0,8040,2706.74,2026-09-18
3PLAND,EQ,31.5,31.5,30.5,31.09,31.4,721,0.22,2026-09-18
5PAISA,EQ,314.1,323.0,314.1,321.35,315.4,21347,68.25,2026-09-18
63MOONS,EQ,872.65,890.15,864.45,884.75,872.65,231331,2036.73,2026-09-18
A2ZINFRA,EQ,15.31,15.31,14.87,14.89,15.01,43624,6.52,2026-09-18
AAATECH,EQ,88.0,88.0,84.05,86.95,84.57,107337,92.76,2026-09-18
AADHARHFC,EQ,467.0,470.7,453.7,461.65,469.35,2175228,10049.29,2026-09-18
AAKASH,EQ,8.92,9.18,8.8,8.88,8.92,78109,7.02,2026-09-18
AAREYDRUGS,EQ,103.0,103.5,98.81,102.13,101.72,289834,295.43,2026-09-18
AARON,EQ,124.42,126.99,115.0,119.92,124.42,38147,45.48,2026-09-18
AARTIDRUGS,EQ,428.35,435.2,426.0,431.8,428.35,88332,381.04,2026-09-18
AARTIIND,EQ,476.65,493.45,476.25,491.15,476.6,541708,2643.75,2026-09-18
AARTIPHARM,EQ,827.0,845.7,812.4,820.4,826.95,1901494,15632.53,2026-09-18
AARVI,EQ,141.9,141.9,138.12,139.95,140.82,3984,5.56,2026-09-18
AASTHA,EQ,77.99,77.99,74.24,76.25,76.78,240248,182.18,2026-09-18
AAVAS,EQ,1296.0,1304.9,1273.8,1284.6,1291.8,164549,2121.69,2026-09-18
ABANSENT,EQ,26.61,27.46,26.0,26.07,26.61,7320,1.94,2026-09-18
ABB,EQ,7185.5,7307.0,7151.0,7270.5,7130.5,383030,27671.62,2026-09-18
ABBOTINDIA,EQ,26035.0,27490.0,26035.0,27270.0,25910.0,38339,10381.22,2026-09-18
ABCAPITAL,EQ,390.5,410.05,390.5,410.05,390.0,4888619,19711.99,2026-09-18
ABCOTS,EQ,221.0,222.01,206.05,209.85,210.83,219982,473.94,2026-09-18
ABDL,EQ,649.9,659.55,641.0,647.6,653.1,437696,2846.31,2026-09-18
ABFRL,EQ,50.6,50.77,49.8,50.16,50.45,3238057,1626.97,2026-09-18
ABGSEC,EQ,114.2,114.2,113.19,114.2,113.07,8,0.01,2026-09-18
ABLBL,EQ,82.75,82.75,80.81,81.17,82.41,1106286,901.07,2026-09-18
ABMKNO,EQ,178.0,187.9,170.05,170.5,174.37,1382,2.37,2026-09-18
ABREL,EQ,1264.0,1279.0,1249.2,1266.2,1257.4,171318,2167.67,2026-09-18
ABSL10BANK,EQ,165.5,166.3,165.0,166.04,164.39,281,0.47,2026-09-18
ABSLAMC,EQ,1083.0,1107.9,1053.4,1060.4,1090.1,378189,4098.41,2026-09-18
ABSLBANETF,EQ,57.65,57.92,57.53,57.72,57.61,10671,6.16,2026-09-18
ABSLLIQUID,EQ,995.0,1004.94,995.0,1000.0,1000.0,8812,88.12,2026-09-18
ABSLMSCIN,EQ,28.82,28.93,28.68,28.69,28.72,608,0.17,2026-09-18
ABSLNN50ET,EQ,74.81,75.99,73.87,75.87,74.81,7289,5.5,2026-09-18
ABSLPSE,EQ,10.1,10.1,9.97,10.05,9.93,46993,4.71,2026-09-18
ACC,EQ,1236.6,1279.9,1236.6,1259.7,1232.5,386560,4852.96,2026-09-18
ACCELYA,EQ,1131.8,1132.0,1117.0,1123.0,1122.0,3559,39.93,2026-09-18
ACE,EQ,1212.3,1241.5,1202.0,1229.2,1205.6,881443,10808.64,2026-09-18
ACEINTEG,EQ,17.8,17.81,17.11,17.37,18.0,2419,0.42,2026-09-18
ACGL,EQ,1798.0,1836.9,1725.1,1737.2,1774.0,1004,17.74,2026-09-18
ACI,EQ,463.65,473.0,458.0,467.15,462.4,327739,1528.52,2026-09-18
ACL,EQ,42.8,42.99,41.52,42.66,41.98,6820,2.9,2026-09-18
ACMESOLAR,EQ,411.5,440.7,411.5,435.25,411.3,12038412,52008.26,2026-09-18
ACUTAAS,EQ,3334.0,3462.0,3302.5,3440.3,3315.1,521496,17723.02,2026-09-18
ADANIENSOL,EQ,1380.9,1436.5,1380.9,1436.1,1386.8,2145921,30511.23,2026-09-18
ADANIENT,EQ,2933.0,3020.0,2924.6,3020.0,2923.2,1628125,48687.8,2026-09-18
ADANIGREEN,EQ,1274.2,1337.9,1274.2,1334.5,1274.2,2597171,34142.11,2026-09-18
ADANIPORTS,EQ,1748.0,1824.0,1744.0,1824.0,1738.3,4148803,74139.05,2026-09-18
ADANIPOWER,EQ,206.05,209.6,205.64,206.6,205.92,18185888,37759.45,2026-09-18
ADDIND,EQ,83.0,83.0,82.65,82.65,78.45,3,0.0,2026-09-18
ADFFOODS,EQ,265.1,265.9,260.2,261.45,267.75,88038,231.3,2026-09-18
ADL,EQ,75.4,75.4,70.0,70.06,72.03,261,0.18,2026-09-18
ADOR,EQ,1570.1,1613.0,1568.9,1592.1,1564.3,19186,303.72,2026-09-18
ADROITINFO,EQ,10.82,11.7,10.82,11.14,11.22,39432,4.46,2026-09-18
ADSL,EQ,96.98,97.46,95.5,96.29,96.99,57062,54.82,2026-09-18
ADVAIT,EQ,2030.0,2030.4,1985.0,2003.6,1990.4,19625,393.41,2026-09-18
ADVANCE,EQ,112.75,112.75,110.0,110.48,111.67,87868,97.37,2026-09-18
ADVANIHOTR,EQ,48.35,49.34,47.62,47.89,47.62,13516,6.52,2026-09-18
ADVENTHTL,EQ,128.11,132.9,125.46,129.15,127.04,174166,222.36,2026-09-18
ADVENZYMES,EQ,291.0,291.85,286.45,287.8,288.1,243137,701.56,2026-09-18
ADVIKCA,EQ,0.97,1.0,0.95,0.98,0.97,216964,2.11,2026-09-18
AEGISLOG,EQ,1362.9,1429.7,1360.0,1415.4,1353.8,1333662,18710.35,2026-09-18
AEGISVOPAK,EQ,313.0,317.0,300.65,314.95,310.7,2342046,7260.72,2026-09-18
AEPL,EQ,15.7,16.5,15.7,15.92,15.78,15668,2.52,2026-09-18
AEQUS,EQ,228.98,233.47,227.0,231.67,229.33,859211,1976.93,2026-09-18
AEROENTER,EQ,122.94,126.9,120.9,125.49,122.94,751302,930.97,2026-09-18
AEROFLEX,EQ,510.0,514.0,497.1,510.9,497.6,890374,4514.18,2026-09-18
AERONEU,EQ,66.28,68.0,66.28,67.09,66.61,28643,19.21,2026-09-18
AEROPLANE,EQ,193.0,203.25,192.12,201.49,193.7,778122,1558.09,2026-09-18
AETHER,EQ,1624.3,1651.3,1618.1,1630.0,1623.3,94450,1547.27,2026-09-18
AFCONS,EQ,264.0,264.4,255.8,263.4,267.3,3352350,8733.06,2026-09-18
AFFLE,EQ,1545.6,1623.5,1535.0,1603.5,1545.6,434146,6888.04,2026-09-18
AFFORDABLE,EQ,164.0,175.0,162.93,172.31,167.31,29285,49.66,2026-09-18
AFIL,EQ,8.96,8.96,8.34,8.61,8.37,302606,25.72,2026-09-18
AFSL,EQ,202.45,202.45,201.0,201.0,201.0,7974,16.03,2026-09-18
AGARIND,EQ,407.8,417.9,405.6,412.65,407.75,17291,70.77,2026-09-18
AGARWALEYE,EQ,500.25,503.0,495.2,500.45,500.15,105331,525.54,2026-09-18
AGI,EQ,740.0,756.0,723.0,745.05,733.75,155939,1150.38,2026-09-18
AGIIL,EQ,266.15,274.0,266.0,270.45,266.15,660624,1785.37,2026-09-18
AGL,EQ,13.94,14.11,13.56,13.8,13.88,1221013,168.34,2026-09-18
AGRITECH,EQ,97.8,99.48,97.55,98.33,96.42,1770,1.74,2026-09-18
AGROPHOS,EQ,24.38,24.38,22.51,23.64,23.44,5479,1.29,2026-09-18
AHCL,EQ,22.68,24.78,22.11,22.9,21.84,145565213,34298.71,2026-09-18
AHLADA,EQ,38.9,39.64,37.2,37.33,39.33,8224,3.1,2026-09-18
AHLEAST,EQ,135.12,139.71,132.01,135.59,134.97,5283,7.05,2026-09-18
AHLUCONT,EQ,568.0,590.0,564.0,584.7,567.6,63766,366.48,2026-09-18
AIAENG,EQ,3967.5,4039.8,3900.0,3973.3,3983.4,75514,2985.08,2026-09-18
AIIL,EQ,531.95,562.0,527.5,559.0,527.2,762508,4213.93,2026-09-18
AIRAN,EQ,16.59,16.9,16.2,16.69,16.7,56051,9.3,2026-09-18
AIROLAM,EQ,89.8,92.0,85.5,89.0,86.15,12571,11.25,2026-09-18
AJANTPHARM,EQ,3535.0,3630.0,3531.5,3563.6,3500.5,201322,7197.82,2026-09-18
AJAXENGG,EQ,563.0,570.2,554.0,559.75,566.6,86718,487.16,2026-09-18
AJMERA,EQ,114.37,116.9,112.73,115.6,113.8,307767,353.12,2026-09-18
AJOONI,EQ,3.24,3.39,3.24,3.28,3.27,714622,23.68,2026-09-18
AKASH,EQ,24.7,24.72,24.27,24.29,24.26,2440,0.6,2026-09-18
AKCAPIT,EQ,1731.4,1755.0,1701.3,1746.4,1748.4,1185,20.59,2026-09-18
AKG,EQ,10.48,10.68,10.02,10.37,10.32,8242,0.85,2026-09-18
AKSHAR,EQ,0.42,0.42,0.41,0.41,0.41,990838,4.13,2026-09-18
AKUMS,EQ,767.1,790.0,767.1,783.7,766.7,330477,2573.85,2026-09-18
ALANKIT,EQ,7.95,7.95,7.6,7.74,7.67,109982,8.52,2026-09-18
ALBERTDAVD,EQ,835.15,841.45,831.0,833.6,838.45,1809,15.1,2026-09-18
ALEMBICLTD,EQ,102.1,106.0,102.1,102.63,102.72,829029,857.92,2026-09-18
ALFREDHE,EQ,2830.0,2830.0,2815.0,2830.0,2820.0,52,1.47,2026-09-18
ALGOQUANT,EQ,70.84,76.2,70.13,72.27,70.13,3786684,2774.55,2026-09-18
ALICON,EQ,710.0,735.0,687.4,729.35,695.15,33801,241.47,2026-09-18
ALIVUS,EQ,1395.1,1443.0,1387.0,1430.8,1387.8,304330,4331.73,2026-09-18
ALKALI,EQ,73.06,87.66,72.05,87.66,73.05,133798,112.65,2026-09-18
ALKEM,EQ,5378.5,5466.5,5310.5,5466.5,5348.5,320770,17211.65,2026-09-18
