SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,208.28,227.88,207.41,220.12,208.28,561790,1242.32,2026-09-21
21STCENMGM,EQ,38.97,39.5,38.3,39.47,38.98,776,0.3,2026-09-21
360ONE,EQ,1073.3,1085.9,1062.8,1072.7,1073.1,573949,6164.9,2026-09-21
3BBLACKBIO,EQ,1333.9,1419.7,1306.3,1407.8,1319.3,9258,127.11,2026-09-21
3MINDIA,EQ,33915.0,34890.0,33855.0,34725.0,34095.0,4444,1539.74,2026-09-21
3PLAND,EQ,31.09,31.97,30.35,31.5,31.09,1083,0.33,2026-09-21
5PAISA,EQ,322.5,322.5,312.0,314.1,321.35,30462,96.31,2026-09-21
63MOONS,EQ,883.8,905.0,883.45,892.05,884.75,281652,2522.3,2026-09-21
A2ZINFRA,EQ,14.81,15.18,14.59,14.68,14.89,73672,10.87,2026-09-21
AAATECH,EQ,88.98,96.0,86.0,94.16,86.95,118069,109.52,2026-09-21
AADHARHFC,EQ,461.0,470.25,460.3,466.05,461.65,141533,658.8,2026-09-21
AAKASH,EQ,8.88,9.19,8.85,8.97,8.88,80878,7.31,2026-09-21
AAREYDRUGS,EQ,103.0,103.99,100.06,102.37,102.13,206096,212.16,2026-09-21
AARON,EQ,118.0,124.0,118.0,120.74,119.92,9458,11.43,2026-09-21
AARTIDRUGS,EQ,427.7,440.85,427.7,435.5,431.8,114136,498.15,2026-09-21
AARTIIND,EQ,483.0,502.0,481.05,499.8,491.15,805286,3971.68,2026-09-21
AARTIPHARM,EQ,820.0,871.2,811.2,846.45,820.4,2420466,20123.86,2026-09-21
AARVI,EQ,140.0,141.3,134.5,136.1,139.95,29434,40.13,2026-09-21
AASTHA,EQ,76.0,76.69,73.63,74.21,76.25,243196,183.57,2026-09-21
AAVAS,EQ,1285.0,1323.8,1285.0,1321.2,1284.6,84855,1112.75,2026-09-21
ABANSENT,EQ,26.45,27.05,26.34,27.01,26.07,8248,2.21,2026-09-21
ABB,EQ,7240.0,7330.0,7221.0,7271.0,7270.5,161482,11737.89,2026-09-21
ABBOTINDIA,EQ,27200.0,27300.0,26815.0,26960.0,27270.0,7355,1989.78,2026-09-21
ABCAPITAL,EQ,405.1,405.45,400.95,403.4,410.05,1591907,6406.31,2026-09-21
ABCOTS,EQ,214.9,214.9,205.0,208.01,209.85,2489,5.17,2026-09-21
ABDL,EQ,649.95,664.0,641.7,656.3,647.6,423120,2775.03,2026-09-21
ABFRL,EQ,50.15,50.56,49.7,49.85,50.16,2352382,1179.62,2026-09-21
ABGSEC,EQ,114.31,114.31,113.6,114.01,114.2,15,0.02,2026-09-21
ABLBL,EQ,81.5,81.52,80.6,80.89,81.17,411431,332.89,2026-09-21
ABMKNO,EQ,170.5,177.9,170.5,175.67,170.5,251,0.44,2026-09-21
ABREL,EQ,1266.2,1288.7,1233.2,1237.1,1266.2,99442,1242.74,2026-09-21
ABSL10BANK,EQ,166.04,169.8,165.64,168.75,166.04,224,0.37,2026-09-21
ABSLAMC,EQ,1064.3,1068.9,1026.2,1034.3,1060.4,174676,1821.84,2026-09-21
ABSLBANETF,EQ,58.32,58.32,57.79,57.87,57.72,15503,8.98,2026-09-21
ABSLLIQUID,EQ,1000.01,1000.01,999.99,999.99,1000.0,5774,57.74,2026-09-21
ABSLMSCIN,EQ,28.8,28.94,28.8,28.8,28.69,106,0.03,2026-09-21
ABSLNN50ET,EQ,73.97,76.4,73.97,76.21,75.87,5550,4.23,2026-09-21
ABSLPSE,EQ,10.1,10.1,9.92,10.05,10.05,64109,6.44,2026-09-21
ACC,EQ,1260.0,1272.0,1251.0,1256.3,1259.7,66808,841.5,2026-09-21
ACCELYA,EQ,1123.0,1125.0,1115.2,1119.9,1123.0,7474,83.74,2026-09-21
ACE,EQ,1243.0,1268.0,1220.5,1230.4,1229.2,604926,7543.6,2026-09-21
ACEINTEG,EQ,17.37,18.04,17.02,17.89,17.37,4464,0.79,2026-09-21
ACGL,EQ,1737.2,1768.9,1708.0,1714.3,1737.2,2468,42.61,2026-09-21
ACI,EQ,469.95,476.25,458.0,466.25,467.15,373995,1740.02,2026-09-21
ACL,EQ,42.97,43.65,42.1,42.68,42.66,8165,3.47,2026-09-21
ACMESOLAR,EQ,439.0,464.45,437.5,458.1,435.25,6919009,31413.82,2026-09-21
ACUTAAS,EQ,3460.0,3509.9,3399.0,3425.7,3440.3,327627,11334.8,2026-09-21
ADANIENSOL,EQ,1421.1,1432.4,1397.6,1397.6,1436.1,1943661,27407.78,2026-09-21
ADANIENT,EQ,2995.6,3015.9,2973.0,2975.0,3020.0,782730,23437.54,2026-09-21
ADANIGREEN,EQ,1332.0,1332.0,1300.1,1303.6,1334.5,644395,8466.47,2026-09-21
ADANIPORTS,EQ,1793.7,1796.8,1766.7,1787.1,1824.0,2317822,41368.92,2026-09-21
ADANIPOWER,EQ,207.64,210.55,205.38,206.55,206.6,11494497,23870.86,2026-09-21
ADDIND,EQ,82.65,82.65,75.0,77.74,82.65,207,0.16,2026-09-21
ADFFOODS,EQ,259.9,268.7,257.5,267.9,261.45,124948,328.75,2026-09-21
ADOR,EQ,1585.0,1587.9,1564.7,1576.4,1592.1,13795,217.46,2026-09-21
ADROITINFO,EQ,11.18,11.49,10.9,11.25,11.14,43930,4.89,2026-09-21
ADSL,EQ,96.29,99.0,95.52,96.94,96.29,77436,75.32,2026-09-21
ADVAIT,EQ,2038.0,2075.0,2002.3,2005.5,2003.6,41422,838.94,2026-09-21
ADVANCE,EQ,110.48,111.56,106.5,107.83,110.48,184028,199.67,2026-09-21
ADVANIHOTR,EQ,47.8,48.81,47.1,47.9,47.89,7324,3.51,2026-09-21
ADVENTHTL,EQ,129.15,129.15,125.7,126.64,129.15,169507,214.69,2026-09-21
ADVENZYMES,EQ,288.7,297.8,287.0,294.05,287.8,395562,1157.02,2026-09-21
ADVIKCA,EQ,0.98,1.03,0.95,0.96,0.98,427767,4.19,2026-09-21
AEGISLOG,EQ,1422.0,1500.2,1416.4,1486.0,1415.4,1793245,26242.71,2026-09-21
AEGISVOPAK,EQ,317.0,320.95,309.2,318.3,314.95,2864123,9073.25,2026-09-21
AEPL,EQ,17.0,17.0,16.21,16.45,15.92,46972,7.78,2026-09-21
AEQUS,EQ,233.23,233.23,228.95,231.57,231.67,1065725,2464.08,2026-09-21
AEROENTER,EQ,126.11,126.89,121.44,122.36,125.49,554242,682.92,2026-09-21
AEROFLEX,EQ,510.9,524.8,500.65,515.5,510.9,931850,4775.98,2026-09-21
AERONEU,EQ,65.41,68.0,65.41,66.1,67.09,26383,17.56,2026-09-21
AEROPLANE,EQ,201.0,204.9,194.0,201.03,201.49,511901,1026.57,2026-09-21
AETHER,EQ,1650.0,1663.9,1629.2,1639.6,1630.0,127672,2102.37,2026-09-21
AFCONS,EQ,260.75,262.85,256.0,256.75,263.4,734601,1897.97,2026-09-21
AFFLE,EQ,1596.0,1617.9,1566.2,1600.2,1603.5,133554,2129.27,2026-09-21
AFFORDABLE,EQ,177.0,177.0,167.61,168.63,172.31,10396,17.67,2026-09-21
AFIL,EQ,8.4,8.85,8.4,8.72,8.61,264836,23.08,2026-09-21
AFSL,EQ,201.02,201.94,201.0,201.03,201.0,1897,3.81,2026-09-21
AGARIND,EQ,413.55,414.8,407.0,408.55,412.65,46529,190.84,2026-09-21
AGARWALEYE,EQ,502.0,504.7,487.2,490.3,500.45,235519,1161.9,2026-09-21
AGI,EQ,744.05,824.0,744.0,819.35,745.05,1015912,8160.15,2026-09-21
AGIIL,EQ,275.0,277.15,267.65,271.15,270.45,2842048,7720.27,2026-09-21
AGL,EQ,13.87,14.26,13.62,13.81,13.8,1690058,234.77,2026-09-21
AGRITECH,EQ,97.0,100.9,97.0,98.71,98.33,810,0.8,2026-09-21
AGROPHOS,EQ,24.24,24.24,23.2,23.85,23.64,4603,1.08,2026-09-21
AHCL,EQ,23.16,27.48,23.15,26.24,22.9,130243729,32809.86,2026-09-21
AHLADA,EQ,37.33,38.5,36.6,36.97,37.33,2702,1.0,2026-09-21
AHLEAST,EQ,135.85,135.85,134.03,135.0,135.59,41,0.06,2026-09-21
AHLUCONT,EQ,584.7,589.3,575.85,580.2,584.7,41107,238.63,2026-09-21
AIAENG,EQ,3984.0,4023.8,3908.1,3941.0,3973.3,75488,2975.8,2026-09-21
AIIL,EQ,553.9,565.0,551.15,559.4,559.0,155515,870.69,2026-09-21
AIRAN,EQ,16.5,17.49,16.4,16.66,16.69,142877,24.17,2026-09-21
AIROLAM,EQ,90.01,90.01,86.04,88.24,89.0,2208,1.95,2026-09-21
