SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,211.75,211.75,204.01,207.86,211.87,163867,340.25,2026-09-11
21STCENMGM,EQ,38.97,38.97,38.25,38.39,38.97,528,0.2,2026-09-11
360ONE,EQ,1089.7,1098.3,1065.6,1091.0,1094.9,835305,9076.11,2026-09-11
3BBLACKBIO,EQ,1442.0,1448.3,1389.0,1419.9,1443.3,19596,277.27,2026-09-11
3MINDIA,EQ,32410.0,32865.0,32400.0,32710.0,32800.0,1598,521.59,2026-09-11
3PLAND,EQ,32.0,32.0,28.51,31.24,32.0,18145,5.61,2026-09-11
5PAISA,EQ,330.0,331.8,322.35,326.55,332.5,38072,124.56,2026-09-11
63MOONS,EQ,880.0,945.0,861.3,908.9,886.35,1336886,12221.55,2026-09-11
A2ZINFRA,EQ,15.09,15.35,14.81,15.33,14.92,74902,11.37,2026-09-11
AAATECH,EQ,92.92,92.92,91.05,91.88,92.77,7375,6.77,2026-09-11
AADHARHFC,EQ,460.5,460.75,452.0,456.8,462.7,197994,901.97,2026-09-11
AAKASH,EQ,9.15,9.4,9.04,9.1,9.14,134797,12.36,2026-09-11
AAREYDRUGS,EQ,95.71,100.3,94.92,98.89,95.71,369808,365.58,2026-09-11
AARON,EQ,137.0,137.0,121.16,126.94,136.95,34810,44.52,2026-09-11
AARTIDRUGS,EQ,437.0,444.0,426.15,428.5,437.0,173089,747.15,2026-09-11
AARTIIND,EQ,503.0,503.0,490.05,492.7,504.05,592348,2920.2,2026-09-11
AARTIPHARM,EQ,814.0,833.0,814.0,826.95,825.75,268696,2217.38,2026-09-11
AARVI,EQ,142.0,143.11,140.7,141.85,143.11,12981,18.38,2026-09-11
AASTHA,EQ,79.34,79.34,77.0,78.43,79.29,179977,139.93,2026-09-11
AAVAS,EQ,1282.3,1284.9,1256.6,1275.1,1286.1,59394,758.22,2026-09-11
ABANSENT,EQ,27.91,28.37,27.43,28.09,27.78,7373,2.05,2026-09-11
ABB,EQ,7294.0,7324.0,7173.0,7274.0,7329.0,192422,13973.07,2026-09-11
ABBOTINDIA,EQ,25260.0,25635.0,25135.0,25550.0,25260.0,9615,2434.85,2026-09-11
ABCAPITAL,EQ,395.0,396.2,391.0,395.0,400.0,1630117,6417.26,2026-09-11
ABCOTS,EQ,211.0,211.0,201.6,203.06,205.55,1253,2.56,2026-09-11
ABDL,EQ,601.0,636.9,599.0,632.5,611.45,563681,3508.73,2026-09-11
ABFRL,EQ,50.5,50.65,49.4,50.44,50.89,4118000,2058.84,2026-09-11
ABGSEC,EQ,113.96,113.96,113.96,113.96,113.96,4,0.0,2026-09-11
ABLBL,EQ,83.56,83.94,82.6,83.61,84.0,401584,335.15,2026-09-11
ABMKNO,EQ,181.35,185.0,180.0,181.45,181.35,1407,2.55,2026-09-11
ABREL,EQ,1315.1,1315.2,1276.0,1281.6,1337.4,346175,4453.06,2026-09-11
ABSL10BANK,EQ,167.0,170.8,163.16,167.34,165.0,1397,2.3,2026-09-11
ABSLAMC,EQ,1086.0,1116.9,1067.1,1109.9,1088.5,578949,6362.65,2026-09-11
ABSLBANETF,EQ,57.34,58.1,57.23,58.01,57.76,69129,39.9,2026-09-11
ABSLLIQUID,EQ,999.99,1000.01,999.99,1000.0,1000.0,14903,149.03,2026-09-11
ABSLMSCIN,EQ,29.02,29.09,28.75,28.9,28.93,148,0.04,2026-09-11
ABSLNN50ET,EQ,78.0,78.61,75.22,76.15,76.61,18690,14.24,2026-09-11
ABSLPSE,EQ,10.1,10.14,10.0,10.11,10.14,127603,12.9,2026-09-11
ACC,EQ,1251.4,1251.7,1230.6,1246.5,1254.3,111729,1384.39,2026-09-11
ACCELYA,EQ,1118.1,1120.9,1111.1,1118.4,1118.1,5762,64.3,2026-09-11
ACE,EQ,1110.0,1134.0,1086.1,1129.0,1121.2,299344,3314.91,2026-09-11
ACEINTEG,EQ,18.47,18.47,17.16,17.62,17.89,843,0.15,2026-09-11
ACGL,EQ,1702.0,1961.9,1702.0,1785.7,1754.6,2316,41.44,2026-09-11
ACI,EQ,480.55,481.0,461.6,470.45,480.55,306609,1439.25,2026-09-11
ACL,EQ,42.75,42.94,41.5,42.7,42.68,32848,13.91,2026-09-11
ACMESOLAR,EQ,390.05,407.9,389.6,402.3,397.25,1235415,4955.31,2026-09-11
ACUTAAS,EQ,3488.0,3488.0,3350.0,3383.7,3451.4,325242,11110.88,2026-09-11
ADANIENSOL,EQ,1375.0,1382.0,1364.2,1373.0,1391.9,1154404,15846.11,2026-09-11
ADANIENT,EQ,3040.0,3065.0,2999.0,3060.0,3077.2,1815342,55087.59,2026-09-11
ADANIGREEN,EQ,1292.6,1302.4,1273.2,1281.3,1299.1,997068,12790.52,2026-09-11
ADANIPORTS,EQ,1755.0,1771.9,1750.8,1764.6,1768.0,1674823,29479.56,2026-09-11
ADANIPOWER,EQ,212.0,212.48,208.41,209.97,213.5,10271412,21569.8,2026-09-11
ADDIND,EQ,80.0,80.0,74.5,77.48,74.83,1712,1.29,2026-09-11
ADFFOODS,EQ,270.65,271.65,267.15,269.55,274.05,66092,177.67,2026-09-11
ADL,EQ,72.02,73.4,70.4,71.54,71.27,966,0.69,2026-09-11
ADOR,EQ,1633.9,1633.9,1579.4,1603.7,1623.4,30109,481.7,2026-09-11
ADROITINFO,EQ,11.23,11.3,10.66,11.02,10.87,20102,2.22,2026-09-11
ADSL,EQ,98.38,101.0,97.05,100.21,98.54,98156,97.29,2026-09-11
ADVAIT,EQ,2026.0,2086.7,2014.4,2065.0,2057.6,34152,695.88,2026-09-11
ADVANCE,EQ,119.03,119.03,116.62,117.85,119.03,65560,77.42,2026-09-11
ADVANIHOTR,EQ,48.99,50.0,48.0,49.18,48.43,16431,8.06,2026-09-11
ADVENTHTL,EQ,132.0,132.0,127.0,128.56,132.39,108834,140.54,2026-09-11
ADVENZYMES,EQ,303.35,303.35,292.0,293.4,303.35,216076,637.89,2026-09-11
ADVIKCA,EQ,1.05,1.05,0.91,1.02,1.04,603812,6.07,2026-09-11
AEGISLOG,EQ,1311.1,1364.6,1287.7,1353.6,1307.6,1216825,16293.08,2026-09-11
AEGISVOPAK,EQ,289.6,298.4,281.3,295.1,291.85,1776446,5217.28,2026-09-11
AEPL,EQ,18.48,18.48,17.0,17.21,17.56,27690,4.88,2026-09-11
AEQUS,EQ,228.1,228.9,222.11,225.97,229.96,2450720,5514.64,2026-09-11
AEROENTER,EQ,133.6,139.0,130.54,137.09,135.01,981278,1328.38,2026-09-11
AEROFLEX,EQ,560.0,569.5,545.25,563.95,564.2,1042637,5830.17,2026-09-11
AERONEU,EQ,69.5,72.76,68.35,68.76,70.03,81254,56.17,2026-09-11
AEROPLANE,EQ,206.98,207.5,196.56,205.13,206.9,4850211,9747.77,2026-09-11
AETHER,EQ,1629.9,1691.5,1600.1,1674.7,1640.3,352268,5782.78,2026-09-11
AFCONS,EQ,262.3,263.75,249.0,253.8,260.85,1849652,4731.54,2026-09-11
AFFLE,EQ,1583.1,1586.2,1558.5,1567.6,1594.0,89489,1405.04,2026-09-11
AFFORDABLE,EQ,165.9,165.9,157.9,159.88,162.34,15027,23.98,2026-09-11
AFIL,EQ,8.9,9.1,8.8,8.92,8.94,234271,20.84,2026-09-11
AFSL,EQ,201.5,201.9,201.0,201.0,201.27,28715,57.72,2026-09-11
AGARIND,EQ,428.8,434.5,421.0,431.75,433.85,45584,194.45,2026-09-11
