SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,219.0,220.99,216.75,218.06,219.28,78133,170.81,2026-09-09
21STCENMGM,EQ,38.98,39.34,38.31,38.8,38.59,1472,0.57,2026-09-09
360ONE,EQ,1104.4,1109.2,1087.4,1087.4,1110.0,869898,9571.81,2026-09-09
3BBLACKBIO,EQ,1490.0,1499.0,1448.1,1476.1,1455.3,9173,135.13,2026-09-09
3MINDIA,EQ,33145.0,33145.0,32745.0,33025.0,33145.0,1275,419.69,2026-09-09
3PLAND,EQ,31.55,32.51,31.55,32.25,32.4,1886,0.61,2026-09-09
5PAISA,EQ,337.2,338.95,327.55,334.3,337.4,55842,186.33,2026-09-09
63MOONS,EQ,864.0,883.35,845.2,865.05,868.25,645891,5594.37,2026-09-09
A2ZINFRA,EQ,16.15,16.15,15.2,15.25,15.8,425561,65.46,2026-09-09
AAATECH,EQ,92.97,92.97,91.51,91.86,92.64,7328,6.74,2026-09-09
AADHARHFC,EQ,479.65,481.65,470.05,471.9,479.65,230829,1093.94,2026-09-09
AAKASH,EQ,8.48,8.6,8.27,8.49,8.49,81772,6.88,2026-09-09
AAREYDRUGS,EQ,99.8,100.4,98.0,99.98,98.03,230078,228.74,2026-09-09
AARON,EQ,125.0,141.99,123.65,134.5,125.01,25451,33.75,2026-09-09
AARTIDRUGS,EQ,421.5,430.95,421.5,423.45,421.5,108126,459.54,2026-09-09
AARTIIND,EQ,503.7,503.7,494.5,496.2,503.7,448671,2234.82,2026-09-09
AARTIPHARM,EQ,866.0,873.0,820.5,829.65,867.0,557734,4663.07,2026-09-09
AARVI,EQ,142.0,143.38,141.65,142.04,142.16,7411,10.54,2026-09-09
AASTHA,EQ,77.26,83.88,75.1,81.46,76.85,2046144,1651.84,2026-09-09
AAVAS,EQ,1290.0,1305.5,1280.0,1290.3,1293.5,80715,1043.68,2026-09-09
ABANSENT,EQ,27.77,29.0,27.5,27.99,27.77,6468,1.81,2026-09-09
ABB,EQ,7377.0,7480.0,7361.0,7401.5,7387.0,309539,22915.0,2026-09-09
ABBOTINDIA,EQ,25555.0,25705.0,25190.0,25225.0,25555.0,6053,1534.95,2026-09-09
ABCAPITAL,EQ,396.85,402.05,393.55,400.0,396.95,2144020,8554.24,2026-09-09
ABCOTS,EQ,214.2,214.2,204.0,205.71,207.99,1477,3.06,2026-09-09
ABDL,EQ,594.5,607.5,586.55,604.15,594.5,320490,1922.13,2026-09-09
ABFRL,EQ,52.19,52.22,51.23,51.33,52.24,2157046,1112.41,2026-09-09
