SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,219.48,220.9,210.73,211.87,218.06,115259,246.91,2026-09-10
21STCENMGM,EQ,39.19,39.55,38.21,38.97,38.8,2643,1.03,2026-09-10
360ONE,EQ,1087.0,1104.4,1076.6,1094.9,1087.4,839166,9194.19,2026-09-10
3BBLACKBIO,EQ,1494.6,1494.6,1431.0,1443.3,1476.1,13603,198.73,2026-09-10
3MINDIA,EQ,32750.0,33330.0,32490.0,32800.0,33025.0,1403,461.66,2026-09-10
3PLAND,EQ,32.5,32.5,31.56,32.0,32.25,1053,0.34,2026-09-10
5PAISA,EQ,333.75,338.95,328.3,332.5,334.3,28304,94.17,2026-09-10
63MOONS,EQ,873.5,912.0,871.0,886.35,865.05,841520,7555.53,2026-09-10
A2ZINFRA,EQ,15.5,15.5,14.85,14.92,15.25,263345,39.66,2026-09-10
AAATECH,EQ,92.97,94.5,91.02,92.77,91.86,10673,9.86,2026-09-10
AADHARHFC,EQ,471.9,474.85,460.25,462.7,471.9,418935,1946.63,2026-09-10
AAKASH,EQ,8.5,9.98,8.31,9.14,8.49,795578,73.28,2026-09-10
AAREYDRUGS,EQ,101.29,101.29,94.99,95.71,99.98,98928,96.11,2026-09-10
AARON,EQ,136.0,142.0,132.1,136.95,134.5,14071,19.46,2026-09-10
AARTIDRUGS,EQ,426.25,439.4,422.35,437.0,423.45,254738,1109.37,2026-09-10
AARTIIND,EQ,496.2,511.95,495.45,504.05,496.2,589520,2973.56,2026-09-10
AARTIPHARM,EQ,836.0,839.0,814.0,825.75,829.65,285444,2349.57,2026-09-10
AARVI,EQ,142.45,143.7,142.0,143.11,142.04,4118,5.88,2026-09-10
AASTHA,EQ,81.41,81.41,78.8,79.29,81.46,263315,209.98,2026-09-10
AAVAS,EQ,1287.0,1302.9,1277.2,1286.1,1290.3,69794,900.64,2026-09-10
ABANSENT,EQ,27.99,29.0,27.51,27.78,27.99,12639,3.55,2026-09-10
