SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,224.9,231.99,220.71,224.8,222.49,373719,847.98,2026-09-07
21STCENMGM,EQ,38.4,38.85,37.47,38.28,38.13,8675,3.34,2026-09-07
360ONE,EQ,1141.8,1143.5,1127.2,1136.9,1137.0,407077,4618.37,2026-09-07
3BBLACKBIO,EQ,1486.0,1530.2,1470.2,1521.3,1460.1,14265,215.26,2026-09-07
3MINDIA,EQ,32700.0,32985.0,32480.0,32840.0,32845.0,1326,433.88,2026-09-07
3PLAND,EQ,32.39,32.39,31.67,32.15,32.39,1703,0.55,2026-09-07
5PAISA,EQ,339.0,344.85,337.05,339.85,342.1,29942,101.72,2026-09-07
63MOONS,EQ,882.55,882.65,860.05,872.7,876.5,249471,2175.12,2026-09-07
A2ZINFRA,EQ,15.61,16.05,15.4,15.76,15.61,96495,15.2,2026-09-07
AAATECH,EQ,91.0,93.96,91.0,92.07,91.74,10152,9.38,2026-09-07
AADHARHFC,EQ,483.5,485.0,471.0,478.95,483.55,270755,1290.35,2026-09-07
AAKASH,EQ,8.69,8.88,8.18,8.59,8.75,251561,21.41,2026-09-07
AAREYDRUGS,EQ,94.1,98.5,94.1,97.31,95.79,218466,212.42,2026-09-07
AARON,EQ,129.0,129.0,125.0,125.54,128.45,4586,5.82,2026-09-07
AARTIDRUGS,EQ,433.25,434.7,419.25,423.0,431.65,94385,402.36,2026-09-07
AARTIIND,EQ,493.25,495.75,487.35,490.7,492.05,518899,2550.99,2026-09-07
AARTIPHARM,EQ,861.0,894.7,856.35,862.65,858.8,745049,6501.02,2026-09-07
AARVI,EQ,140.5,145.49,140.3,143.36,141.92,10492,14.84,2026-09-07
AASTHA,EQ,79.25,79.25,76.42,77.36,78.12,177179,136.6,2026-09-07
AAVAS,EQ,1291.0,1311.4,1285.2,1306.2,1304.2,82507,1071.15,2026-09-07
ABANSENT,EQ,27.5,28.99,27.0,28.39,27.86,4724,1.33,2026-09-07
ABB,EQ,7410.0,7459.5,7327.0,7434.0,7410.0,111152,8225.29,2026-09-07
ABBOTINDIA,EQ,26150.0,26195.0,25810.0,25940.0,26065.0,5392,1398.43,2026-09-07
ABCAPITAL,EQ,404.0,404.75,399.5,403.25,404.9,2451987,9855.62,2026-09-07
ABCOTS,EQ,208.8,223.45,208.1,212.01,208.15,10187,21.85,2026-09-07
ABDL,EQ,609.9,610.4,596.85,600.0,609.95,428345,2572.51,2026-09-07
ABFRL,EQ,52.95,55.11,51.99,53.21,52.97,10440736,5606.39,2026-09-07
ABGSEC,EQ,114.72,114.74,113.62,114.51,113.58,1748,1.99,2026-09-07
ABLBL,EQ,86.9,87.4,84.99,85.55,86.07,543434,467.81,2026-09-07
ABMKNO,EQ,186.0,189.99,185.0,189.64,189.9,2557,4.74,2026-09-07
ABREL,EQ,1373.6,1384.0,1356.1,1377.8,1373.6,65234,893.43,2026-09-07
ABSL10BANK,EQ,170.8,170.8,165.0,165.62,168.65,1301,2.19,2026-09-07
ABSLAMC,EQ,1062.3,1064.1,1035.0,1041.9,1062.3,197790,2064.64,2026-09-07
ABSLBANETF,EQ,58.95,58.97,58.5,58.66,59.06,118426,69.37,2026-09-07
ABSLLIQUID,EQ,975.0,1000.01,975.0,1000.0,1000.0,1522,15.22,2026-09-07
ABSLMSCIN,EQ,29.58,29.6,29.23,29.23,29.44,289,0.09,2026-09-07
ABSLNN50ET,EQ,77.46,78.0,76.3,77.15,77.08,10606,8.14,2026-09-07
ABSLPSE,EQ,10.2,10.25,10.09,10.11,10.18,88062,8.92,2026-09-07
ACC,EQ,1287.0,1288.5,1265.5,1268.7,1283.8,90302,1147.73,2026-09-07
ACCELYA,EQ,1131.0,1135.8,1120.0,1127.1,1131.0,5455,61.5,2026-09-07
ACE,EQ,1125.4,1131.0,1111.0,1113.2,1125.4,109007,1217.4,2026-09-07
ACEINTEG,EQ,18.58,18.58,17.52,17.54,17.83,2039,0.36,2026-09-07
ACGL,EQ,1799.0,1839.0,1780.0,1799.4,1797.6,1000,18.18,2026-09-07
ACI,EQ,504.4,513.6,496.0,509.35,504.2,619983,3125.75,2026-09-07
ACL,EQ,43.36,43.99,43.02,43.49,43.36,7960,3.48,2026-09-07
ACMESOLAR,EQ,422.8,423.4,409.0,413.15,418.0,1367600,5684.81,2026-09-07
ACUTAAS,EQ,3168.5,3212.7,3160.0,3181.6,3168.5,141224,4502.01,2026-09-07
ADANIENSOL,EQ,1412.7,1418.5,1387.8,1390.4,1409.6,1342576,18791.85,2026-09-07
ADANIENT,EQ,2940.0,2964.4,2918.5,2950.0,2938.0,981218,28829.78,2026-09-07
ADANIGREEN,EQ,1301.2,1309.8,1285.0,1288.0,1301.3,685684,8892.93,2026-09-07
ADANIPORTS,EQ,1714.0,1716.4,1685.9,1694.3,1707.3,1175225,19986.43,2026-09-07
ADANIPOWER,EQ,207.1,208.65,204.16,204.49,207.2,9839611,20249.61,2026-09-07
ADDIND,EQ,79.34,85.0,78.95,80.81,79.34,2067,1.71,2026-09-07
ADFFOODS,EQ,263.15,269.0,259.0,266.15,264.8,120114,315.58,2026-09-07
ADL,EQ,71.4,74.0,71.4,72.57,72.0,646,0.47,2026-09-07
ADOR,EQ,1674.4,1681.9,1624.1,1644.1,1674.4,37401,619.08,2026-09-07
ADROITINFO,EQ,10.31,10.73,10.25,10.31,10.31,24445,2.52,2026-09-07
ADSL,EQ,103.08,103.99,100.21,101.46,104.13,126207,128.2,2026-09-07
ADVAIT,EQ,2151.3,2159.4,2070.2,2096.4,2151.3,49298,1035.93,2026-09-07
ADVANCE,EQ,117.43,119.8,115.9,116.43,117.43,95430,112.17,2026-09-07
ADVANIHOTR,EQ,49.45,49.98,49.0,49.12,49.45,19626,9.67,2026-09-07
ADVENTHTL,EQ,134.5,135.65,132.0,133.19,134.57,123600,164.79,2026-09-07
ADVENZYMES,EQ,293.2,298.5,292.2,297.85,293.2,151606,449.14,2026-09-07
ADVIKCA,EQ,1.12,1.13,1.1,1.1,1.12,337126,3.74,2026-09-07
AEGISLOG,EQ,1274.6,1278.7,1238.0,1253.7,1270.2,378402,4760.48,2026-09-07
AEGISVOPAK,EQ,281.65,287.0,279.55,285.35,284.5,615354,1746.11,2026-09-07
AEPL,EQ,17.85,18.25,17.26,18.02,17.5,99702,17.87,2026-09-07
AEQUS,EQ,242.42,242.72,233.0,233.86,242.18,2461232,5802.1,2026-09-07
AEROENTER,EQ,143.23,156.0,142.55,154.73,141.81,3260028,4939.98,2026-09-07
AEROFLEX,EQ,538.05,561.7,536.2,558.15,537.45,1428851,7934.48,2026-09-07
AERONEU,EQ,80.57,80.57,77.0,77.28,80.57,36220,28.57,2026-09-07
AEROPLANE,EQ,198.39,202.3,195.0,198.03,194.29,994634,1973.62,2026-09-07
AETHER,EQ,1621.0,1635.0,1604.8,1619.5,1625.6,122482,1985.79,2026-09-07
AFCONS,EQ,291.55,296.2,290.5,293.2,292.8,425086,1246.01,2026-09-07
AFFLE,EQ,1630.0,1654.5,1605.7,1623.2,1616.5,423635,6906.8,2026-09-07
AFFORDABLE,EQ,156.1,162.0,155.71,160.03,157.47,23084,36.8,2026-09-07
AFIL,EQ,9.25,9.39,9.06,9.14,9.22,552669,50.9,2026-09-07
AFSL,EQ,202.07,207.8,201.25,202.78,202.07,3949,8.05,2026-09-07
AGARIND,EQ,450.95,452.1,437.0,440.2,450.8,45037,199.3,2026-09-07
AGARWALEYE,EQ,514.1,528.8,513.8,518.25,514.1,402398,2100.13,2026-09-07
AGI,EQ,732.5,744.2,730.0,732.65,735.25,98108,722.36,2026-09-07
AGIIL,EQ,286.4,291.0,275.55,277.15,283.7,1078054,3061.74,2026-09-07
AGL,EQ,13.6,13.71,13.46,13.58,13.65,8294166,1128.46,2026-09-07
