SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,226.0,227.23,218.79,219.28,224.8,108144,238.71,2026-09-08
21STCENMGM,EQ,38.7,39.04,38.29,38.59,38.28,4103,1.6,2026-09-08
360ONE,EQ,1125.0,1128.2,1104.3,1110.0,1136.9,1123388,12487.15,2026-09-08
3BBLACKBIO,EQ,1563.0,1569.5,1428.1,1455.3,1521.3,26241,386.84,2026-09-08
3MINDIA,EQ,32840.0,33330.0,32620.0,33145.0,32840.0,2158,714.38,2026-09-08
3PLAND,EQ,32.15,32.5,31.8,32.4,32.15,3698,1.19,2026-09-08
5PAISA,EQ,337.0,342.0,335.0,337.4,339.85,16944,57.19,2026-09-08
63MOONS,EQ,881.4,899.4,860.2,868.25,872.7,536543,4702.11,2026-09-08
A2ZINFRA,EQ,15.56,16.0,15.5,15.8,15.76,117039,18.34,2026-09-08
AAATECH,EQ,92.07,93.42,91.65,92.64,92.07,6650,6.13,2026-09-08
AADHARHFC,EQ,477.15,482.95,468.2,479.65,478.95,279151,1327.24,2026-09-08
AAKASH,EQ,8.7,8.7,8.25,8.49,8.59,73817,6.23,2026-09-08
AAREYDRUGS,EQ,98.47,99.2,94.21,98.03,97.31,142520,138.85,2026-09-08
AARON,EQ,123.35,126.02,123.35,125.01,125.54,6054,7.54,2026-09-08
AARTIDRUGS,EQ,421.5,427.9,419.2,421.5,423.0,60740,257.24,2026-09-08
AARTIIND,EQ,490.7,504.75,486.5,503.7,490.7,766682,3821.36,2026-09-08
AARTIPHARM,EQ,866.9,889.7,861.55,867.0,862.65,453073,3958.0,2026-09-08
AARVI,EQ,143.02,143.96,140.67,142.16,143.36,16061,22.74,2026-09-08
AASTHA,EQ,76.51,78.71,75.22,76.85,77.36,387228,295.09,2026-09-08
AAVAS,EQ,1300.0,1314.8,1290.0,1293.5,1306.2,35998,469.01,2026-09-08
ABANSENT,EQ,28.39,28.39,27.21,27.77,28.39,2970,0.83,2026-09-08
ABB,EQ,7389.0,7472.0,7340.0,7387.0,7434.0,167057,12368.86,2026-09-08
ABBOTINDIA,EQ,25860.0,26065.0,25440.0,25555.0,25940.0,11086,2845.74,2026-09-08
ABCAPITAL,EQ,400.0,401.0,394.45,396.95,403.25,3482938,13847.13,2026-09-08
ABCOTS,EQ,214.7,214.7,203.1,207.99,212.01,7227,15.12,2026-09-08
ABDL,EQ,600.95,603.0,591.35,594.5,600.0,204726,1219.0,2026-09-08
ABFRL,EQ,53.07,53.07,51.63,52.24,53.21,2646472,1382.3,2026-09-08
ABGSEC,EQ,114.61,114.61,113.73,114.17,114.51,255,0.29,2026-09-08
ABLBL,EQ,85.29,85.56,84.05,84.52,85.55,303999,256.83,2026-09-08
ABMKNO,EQ,189.98,189.98,183.6,187.13,189.64,913,1.7,2026-09-08
ABREL,EQ,1379.8,1380.0,1358.1,1372.1,1377.8,53107,726.48,2026-09-08
ABSL10BANK,EQ,166.75,167.72,166.75,167.31,165.62,1397,2.34,2026-09-08
ABSLAMC,EQ,1040.0,1045.6,1024.1,1037.8,1041.9,65443,676.66,2026-09-08
ABSLBANETF,EQ,58.5,58.62,58.3,58.31,58.66,16937,9.89,2026-09-08
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,1000.0,728,7.28,2026-09-08
ABSLMSCIN,EQ,29.37,29.55,29.03,29.34,29.23,370,0.11,2026-09-08
ABSLNN50ET,EQ,76.83,77.15,76.11,76.85,77.15,9982,7.67,2026-09-08
ABSLPSE,EQ,10.09,10.18,9.99,10.13,10.11,37126,3.76,2026-09-08
ACC,EQ,1267.9,1268.0,1255.7,1262.8,1268.7,116620,1471.03,2026-09-08
ACCELYA,EQ,1122.4,1133.0,1121.0,1124.4,1127.1,4962,55.92,2026-09-08
ACE,EQ,1122.2,1148.0,1105.0,1121.2,1113.2,238203,2671.63,2026-09-08
ACEINTEG,EQ,17.17,18.39,17.17,17.37,17.54,1771,0.31,2026-09-08
