SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,207.98,208.77,198.51,201.29,207.86,111270,225.31,2026-09-15
21STCENMGM,EQ,37.8,39.15,37.8,39.0,38.39,1658,0.64,2026-09-15
360ONE,EQ,1092.0,1092.9,1052.1,1052.1,1091.0,896308,9533.64,2026-09-15
3BBLACKBIO,EQ,1423.5,1437.3,1352.0,1355.8,1419.9,10026,139.06,2026-09-15
3MINDIA,EQ,32710.0,32895.0,31500.0,31590.0,32710.0,2096,669.94,2026-09-15
3PLAND,EQ,31.25,32.3,29.5,30.8,31.24,7541,2.36,2026-09-15
5PAISA,EQ,325.1,327.9,311.3,313.2,326.55,40835,129.94,2026-09-15
63MOONS,EQ,911.7,914.25,858.1,864.0,908.9,310775,2739.54,2026-09-15
A2ZINFRA,EQ,15.99,15.99,15.07,15.11,15.33,95954,14.59,2026-09-15
AAATECH,EQ,93.8,95.0,91.4,91.98,91.88,189713,175.28,2026-09-15
AADHARHFC,EQ,457.0,460.2,444.5,448.35,456.8,231528,1038.68,2026-09-15
AAKASH,EQ,9.01,9.25,8.69,8.83,9.1,132523,11.86,2026-09-15
AAREYDRUGS,EQ,98.71,100.45,96.1,98.82,98.89,212869,210.53,2026-09-15
AARON,EQ,125.0,132.2,120.6,123.18,126.94,14325,17.99,2026-09-15
AARTIDRUGS,EQ,428.0,439.9,424.0,426.35,428.5,143544,621.05,2026-09-15
AARTIIND,EQ,492.7,494.5,466.1,468.7,492.7,789421,3768.2,2026-09-15
AARTIPHARM,EQ,831.95,832.0,785.15,789.45,826.95,386201,3110.02,2026-09-15
AARVI,EQ,141.1,145.45,140.81,141.39,141.85,5231,7.39,2026-09-15
AASTHA,EQ,78.43,80.26,76.0,76.38,78.43,772986,593.42,2026-09-15
AAVAS,EQ,1270.1,1290.6,1262.1,1270.3,1275.1,114642,1465.92,2026-09-15
ABANSENT,EQ,28.09,28.6,26.81,27.83,28.09,5280,1.46,2026-09-15
ABB,EQ,7268.0,7268.0,7005.0,7005.0,7274.0,195095,13842.3,2026-09-15
ABBOTINDIA,EQ,25690.0,26245.0,25550.0,26125.0,25550.0,10732,2793.81,2026-09-15
