SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,218.91,224.9,216.5,222.49,217.82,174812,386.39,2026-09-04
21STCENMGM,EQ,38.49,38.7,37.36,38.13,38.1,2056,0.78,2026-09-04
360ONE,EQ,1149.1,1156.1,1127.1,1137.0,1155.0,603451,6882.6,2026-09-04
3BBLACKBIO,EQ,1508.5,1513.9,1411.2,1460.1,1486.2,19626,284.18,2026-09-04
3MINDIA,EQ,32730.0,32965.0,32680.0,32845.0,32820.0,932,305.63,2026-09-04
3PLAND,EQ,32.3,32.45,30.75,32.39,32.45,11543,3.65,2026-09-04
5PAISA,EQ,342.45,367.9,336.35,342.1,342.45,258086,907.4,2026-09-04
63MOONS,EQ,867.95,903.0,853.3,876.5,851.25,1136718,10035.5,2026-09-04
A2ZINFRA,EQ,15.98,16.24,15.33,15.61,15.98,308540,48.24,2026-09-04
AAATECH,EQ,93.17,93.99,91.1,91.74,93.17,11314,10.4,2026-09-04
AADHARHFC,EQ,478.7,488.0,477.7,483.55,478.65,197998,956.42,2026-09-04
AAKASH,EQ,8.88,8.89,8.69,8.75,8.77,139620,12.24,2026-09-04
AAREYDRUGS,EQ,96.0,96.99,93.55,95.79,94.44,109417,104.31,2026-09-04
AARON,EQ,131.0,131.0,127.0,128.45,128.98,4376,5.61,2026-09-04
AARTIDRUGS,EQ,429.25,443.75,426.2,431.65,425.85,250307,1091.11,2026-09-04
AARTIIND,EQ,503.6,509.9,490.0,492.05,501.9,767774,3811.21,2026-09-04
AARTIPHARM,EQ,872.0,879.75,854.1,858.8,868.1,463265,3994.06,2026-09-04
AARVI,EQ,139.61,143.96,139.61,141.92,141.35,7773,11.06,2026-09-04
AASTHA,EQ,79.56,80.87,77.92,78.12,80.05,228188,179.65,2026-09-04
AAVAS,EQ,1298.3,1318.0,1298.3,1304.2,1297.8,60456,790.38,2026-09-04
ABANSENT,EQ,28.4,28.4,27.2,27.86,27.45,6398,1.76,2026-09-04
ABB,EQ,7445.5,7470.0,7376.0,7410.0,7432.0,150500,11165.16,2026-09-04
ABBOTINDIA,EQ,25945.0,26365.0,25810.0,26065.0,25945.0,8803,2292.46,2026-09-04
ABCAPITAL,EQ,400.2,407.4,400.2,404.9,402.0,2167785,8769.58,2026-09-04
ABCOTS,EQ,209.7,217.99,206.3,208.15,207.46,4500,9.44,2026-09-04
ABDL,EQ,603.25,614.15,603.25,609.95,609.4,114222,696.76,2026-09-04
ABFRL,EQ,50.76,53.5,50.45,52.97,50.41,8157673,4269.1,2026-09-04
ABGSEC,EQ,114.94,114.94,113.54,113.58,114.33,104,0.12,2026-09-04
ABLBL,EQ,84.18,86.9,83.72,86.07,83.49,852050,729.5,2026-09-04
ABMKNO,EQ,193.6,193.6,188.0,189.9,188.0,556,1.05,2026-09-04
ABREL,EQ,1376.9,1400.9,1362.5,1373.6,1376.9,68679,947.08,2026-09-04
ABSL10BANK,EQ,168.16,170.5,165.14,168.65,168.15,156,0.26,2026-09-04
ABSLAMC,EQ,1047.7,1065.0,1036.1,1062.3,1045.2,127937,1347.26,2026-09-04
ABSLBANETF,EQ,59.05,59.26,58.85,59.06,59.05,61627,36.38,2026-09-04
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,999.99,1302,13.02,2026-09-04
ABSLMSCIN,EQ,29.79,29.85,29.31,29.44,29.5,1070,0.32,2026-09-04
ABSLNN50ET,EQ,77.99,77.99,76.9,77.08,77.01,6022,4.65,2026-09-04
ABSLPSE,EQ,10.17,10.2,10.11,10.18,10.11,110576,11.24,2026-09-04
ACC,EQ,1277.0,1289.3,1272.0,1283.8,1272.0,101446,1299.78,2026-09-04
ACCELYA,EQ,1130.7,1139.2,1125.7,1131.0,1129.6,2359,26.68,2026-09-04
ACE,EQ,1148.4,1189.0,1117.1,1125.4,1145.5,557111,6452.86,2026-09-04
ACEINTEG,EQ,17.4,18.7,17.29,17.83,17.02,17975,3.25,2026-09-04
ACGL,EQ,1799.8,1842.9,1761.8,1797.6,1790.9,616,11.05,2026-09-04
ACI,EQ,501.0,512.7,495.0,504.2,495.2,640010,3225.53,2026-09-04
ACL,EQ,43.58,43.59,43.0,43.36,43.58,18265,7.9,2026-09-04
ACMESOLAR,EQ,402.9,430.5,399.55,418.0,401.9,6203953,25898.85,2026-09-04
ACUTAAS,EQ,3211.1,3228.8,3156.3,3168.5,3201.0,149850,4768.5,2026-09-04
ADANIENSOL,EQ,1385.6,1412.7,1376.7,1409.6,1385.7,1386991,19460.73,2026-09-04
ADANIENT,EQ,2900.0,2965.0,2882.8,2938.0,2901.0,1060844,31130.53,2026-09-04
ADANIGREEN,EQ,1288.0,1304.5,1278.2,1301.3,1283.4,768437,9961.45,2026-09-04
ADANIPORTS,EQ,1699.9,1716.9,1692.4,1707.3,1706.5,1281968,21889.11,2026-09-04
ADANIPOWER,EQ,208.29,208.99,206.75,207.2,208.29,9328145,19364.33,2026-09-04
ADDIND,EQ,81.55,83.68,79.0,79.34,76.69,486,0.39,2026-09-04
ADFFOODS,EQ,267.5,269.15,262.4,264.8,267.5,78833,209.05,2026-09-04
ADL,EQ,75.0,75.0,71.0,72.0,72.79,757,0.55,2026-09-04
ADOR,EQ,1720.0,1731.0,1662.2,1674.4,1714.6,26990,454.1,2026-09-04
ADROITINFO,EQ,10.2,10.6,10.2,10.31,10.31,10874,1.13,2026-09-04
ADSL,EQ,105.24,105.72,103.5,104.13,104.85,63640,66.46,2026-09-04
ADVAIT,EQ,2230.0,2244.9,2136.0,2151.3,2210.9,66736,1456.6,2026-09-04
ADVANCE,EQ,119.75,119.76,116.86,117.43,118.53,118344,139.67,2026-09-04
ADVANIHOTR,EQ,49.25,49.99,49.0,49.45,49.18,22126,10.92,2026-09-04
ADVENTHTL,EQ,135.25,135.7,132.81,134.57,134.98,78410,105.17,2026-09-04
ADVENZYMES,EQ,297.1,300.8,292.1,293.2,296.0,257142,762.01,2026-09-04
ADVIKCA,EQ,1.15,1.16,1.11,1.12,1.13,329513,3.73,2026-09-04
AEGISLOG,EQ,1288.1,1327.3,1265.0,1270.2,1287.2,665965,8611.15,2026-09-04
AEGISVOPAK,EQ,286.5,294.1,283.1,284.5,286.85,788218,2268.86,2026-09-04
