SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,215.01,219.8,212.78,217.58,213.87,101345,219.81,2026-09-25
21STCENMGM,EQ,40.16,40.39,39.0,39.87,39.77,4675,1.85,2026-09-25
360ONE,EQ,1080.0,1087.9,1062.3,1073.0,1080.8,738050,7922.18,2026-09-25
3BBLACKBIO,EQ,1398.3,1473.9,1381.0,1456.2,1406.0,8013,113.46,2026-09-25
3MINDIA,EQ,34595.0,34595.0,33800.0,33925.0,34590.0,2731,929.37,2026-09-25
3PLAND,EQ,29.42,31.2,29.42,30.99,30.52,2653,0.8,2026-09-25
5PAISA,EQ,310.0,315.0,305.0,308.9,308.4,27267,84.27,2026-09-25
63MOONS,EQ,867.5,877.6,851.35,857.65,862.9,180556,1557.13,2026-09-25
A2ZINFRA,EQ,14.56,15.14,14.56,14.72,14.74,167738,24.95,2026-09-25
AAATECH,EQ,93.2,105.9,89.26,101.5,91.84,735186,692.68,2026-09-25
AADHARHFC,EQ,446.55,450.6,441.3,444.5,446.7,440466,1963.35,2026-09-25
AAKASH,EQ,9.05,9.34,8.85,8.92,9.09,140427,12.61,2026-09-25
AAREYDRUGS,EQ,98.5,102.01,98.02,101.57,100.26,112885,112.86,2026-09-25
AARON,EQ,118.5,125.0,116.71,124.11,116.68,28654,34.79,2026-09-25
AARTIDRUGS,EQ,440.0,440.95,425.0,427.4,437.25,212626,913.35,2026-09-25
AARTIIND,EQ,487.85,492.7,484.6,489.25,489.45,302323,1478.82,2026-09-25
AARTIPHARM,EQ,930.0,962.0,915.45,939.55,934.25,675198,6373.06,2026-09-25
AARVI,EQ,135.85,139.94,135.85,136.91,135.85,7911,10.81,2026-09-25
AASTHA,EQ,79.0,79.0,72.72,72.72,80.8,4769681,3514.05,2026-09-25
AAVAS,EQ,1246.1,1277.2,1242.7,1267.7,1256.4,49117,616.83,2026-09-25
ABANSENT,EQ,27.38,27.38,26.36,27.18,27.25,3615,0.97,2026-09-25
ABB,EQ,7111.0,7201.5,7025.0,7052.5,7129.0,80574,5710.83,2026-09-25
ABBOTINDIA,EQ,26860.0,27095.0,26860.0,26955.0,26860.0,2263,609.88,2026-09-25
ABCAPITAL,EQ,390.9,392.2,384.8,390.0,390.1,2752305,10668.14,2026-09-25
ABCOTS,EQ,203.0,208.0,200.01,203.07,201.58,4142,8.41,2026-09-25
ABDL,EQ,725.0,753.8,705.8,715.05,712.15,4070753,29675.86,2026-09-25
ABFRL,EQ,48.02,49.28,47.88,49.14,48.06,4619236,2241.81,2026-09-25
ABGSEC,EQ,113.77,113.77,113.26,113.26,113.95,1021,1.16,2026-09-25
ABLBL,EQ,78.17,79.36,78.01,78.72,78.59,631342,496.96,2026-09-25
ABMKNO,EQ,170.8,189.0,168.0,174.07,170.8,7283,13.06,2026-09-25
ABREL,EQ,1215.9,1245.0,1208.0,1230.9,1211.8,164987,2025.1,2026-09-25
ABSL10BANK,EQ,163.98,164.75,163.71,164.19,164.16,174,0.29,2026-09-25
ABSLAMC,EQ,1020.0,1023.7,1001.5,1014.5,1024.2,112917,1143.08,2026-09-25
ABSLBANETF,EQ,57.26,57.26,56.88,57.05,57.26,9293,5.3,2026-09-25
ABSLLIQUID,EQ,1000.01,1000.01,999.99,1000.0,1000.01,802,8.02,2026-09-25
ABSLMSCIN,EQ,28.59,28.59,28.37,28.47,28.51,25,0.01,2026-09-25
ABSLNN50ET,EQ,75.3,75.7,75.0,75.51,75.26,2718,2.05,2026-09-25
ABSLPSE,EQ,10.01,10.17,9.93,9.97,9.97,99280,9.89,2026-09-25
ACC,EQ,1236.1,1239.8,1230.5,1236.4,1236.1,45301,559.93,2026-09-25
ACCELYA,EQ,1120.9,1130.9,1108.6,1110.0,1120.9,10220,113.75,2026-09-25
ACE,EQ,1242.0,1250.0,1212.1,1226.6,1241.0,184368,2262.57,2026-09-25
ACEINTEG,EQ,17.03,17.99,17.03,17.58,17.71,1030,0.18,2026-09-25
ACGL,EQ,1707.6,1773.9,1700.0,1737.8,1716.5,457,7.85,2026-09-25
ACI,EQ,494.0,495.45,480.8,482.55,491.4,116822,570.03,2026-09-25
ACL,EQ,42.95,42.95,42.13,42.63,42.56,9779,4.17,2026-09-25
