SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
SEIL,EQ,188.36,194.1,186.0,193.07,189.33,91703,173.89,2026-09-17
SEJALLTD,EQ,681.7,681.7,663.0,681.7,649.25,11757,79.93,2026-09-17
SEKURITIND,EQ,107.0,109.99,107.0,108.72,107.25,14502,15.69,2026-09-17
SELECTIPO,EQ,47.35,47.73,47.32,47.48,47.35,24630,11.7,2026-09-17
SEMAC,EQ,269.0,270.0,268.0,270.0,269.0,139,0.37,2026-09-17
SENCO,EQ,331.55,344.95,330.35,342.35,332.25,492434,1666.14,2026-09-17
SENORES,EQ,1378.4,1435.0,1358.0,1402.6,1376.9,369889,5178.6,2026-09-17
SENSEXADD,EQ,76.9,77.1,76.51,76.96,76.9,414,0.32,2026-09-17
SENSEXAXIS,EQ,77.33,77.6,77.05,77.44,77.33,602,0.47,2026-09-17
SENSEXBETA,EQ,819.0,832.0,818.01,830.88,818.38,1761,14.53,2026-09-17
SENSEXETF,EQ,77.15,77.15,76.61,76.91,76.84,20812,16.01,2026-09-17
SENSEXIETF,EQ,851.86,859.76,851.86,855.42,856.15,5540,47.43,2026-09-17
SEPC,EQ,5.08,5.25,5.08,5.22,5.11,5711817,295.77,2026-09-17
SERVOTECH,EQ,72.43,74.2,72.0,72.27,73.24,328484,239.53,2026-09-17
SESHAPAPER,EQ,247.0,252.98,247.0,247.82,246.72,49766,124.35,2026-09-17
SETF10GILT,EQ,262.49,263.87,261.35,261.38,262.49,1434,3.75,2026-09-17
SETFGOLD,EQ,128.19,128.88,127.59,128.39,128.88,4118582,5282.06,2026-09-17
SETFNIF50,EQ,251.4,252.09,249.91,251.29,250.64,487492,1225.68,2026-09-17
SETFNIFBK,EQ,577.41,580.9,576.06,576.31,577.41,260815,1506.46,2026-09-17
SETFNN50,EQ,761.11,766.5,756.14,765.01,758.2,13672,104.21,2026-09-17
SETL,EQ,409.95,422.0,401.45,401.45,422.55,2842075,11561.69,2026-09-17
SFL,EQ,663.8,679.45,663.8,673.0,663.05,68845,462.59,2026-09-17
SGFIN,EQ,618.25,630.5,610.0,619.9,618.2,161589,998.36,2026-09-17
SGIL,EQ,606.35,606.6,583.1,592.35,581.5,4910,29.04,2026-09-17
SGL,EQ,9.62,10.21,9.0,9.68,9.64,29470,2.79,2026-09-17
SGLRES,EQ,2.49,2.53,2.35,2.49,2.44,53314,1.32,2026-09-17
SGMART,EQ,694.15,722.8,694.15,712.25,697.65,219503,1566.26,2026-09-17
SGRL,EQ,654.8,679.0,638.85,678.2,648.65,6805,45.11,2026-09-17
SHADOWFAX,EQ,243.75,254.0,243.75,251.65,243.75,1463627,3670.96,2026-09-17
SHAH,EQ,3.35,3.38,3.29,3.3,3.34,3004944,99.99,2026-09-17
SHAILY,EQ,3080.0,3155.0,3080.0,3107.2,3097.3,78725,2449.97,2026-09-17
SHAKTIPUMP,EQ,466.8,468.95,458.5,464.1,463.9,505053,2337.24,2026-09-17
SHALBY,EQ,135.0,140.05,135.0,138.5,135.74,156178,214.92,2026-09-17
SHANKARA,EQ,149.85,149.85,148.61,149.29,149.24,129256,193.03,2026-09-17
SHANKESH,EQ,90.33,91.58,88.5,88.96,89.55,1886550,1694.24,2026-09-17
SHANTI,EQ,6.39,6.39,6.06,6.29,6.06,18255,1.13,2026-09-17
SHANTIGEAR,EQ,693.0,708.3,673.35,677.6,691.6,65634,453.63,2026-09-17
SHANTIGOLD,EQ,243.89,247.59,241.0,242.44,243.95,652411,1590.6,2026-09-17
SHARDACROP,EQ,745.0,758.85,740.05,741.7,745.5,103362,770.65,2026-09-17
SHARDAMOTR,EQ,935.0,951.85,918.0,948.35,930.55,63598,601.09,2026-09-17
SHAREINDIA,EQ,199.0,219.95,196.2,218.44,196.05,28924428,62065.05,2026-09-17
SHARIABEES,EQ,438.0,443.98,435.01,439.9,439.4,5890,25.87,2026-09-17
SHBAJRG,EQ,152.0,155.01,148.28,152.08,151.35,5324,8.17,2026-09-17
SHILCTECH,EQ,4017.0,4163.0,4017.0,4103.4,4016.5,11854,487.53,2026-09-17
SHILGRAVQ,EQ,155.02,162.99,155.0,158.0,154.88,1172,1.85,2026-09-17
SHILPAMED,EQ,923.0,963.0,923.0,958.35,928.05,819680,7806.32,2026-09-17
SHINDL,EQ,161.02,163.21,160.62,161.05,163.05,88869,144.12,2026-09-17
SHIPROCKET,EQ,123.66,125.98,120.0,120.93,123.66,4468956,5466.47,2026-09-17
SHIVAAGRO,EQ,39.88,39.89,38.0,38.71,39.89,130,0.05,2026-09-17
SHIVACEM,EQ,15.67,15.79,15.01,15.3,15.5,41715,6.36,2026-09-17
SHIVALIK,EQ,389.15,399.85,367.2,369.3,389.15,112649,429.27,2026-09-17
SHIVAMAUTO,EQ,17.0,17.0,16.1,16.19,16.33,13374,2.2,2026-09-17
SHIVAMILLS,EQ,61.49,61.49,59.02,60.2,59.86,1076,0.65,2026-09-17
SHIVATEX,EQ,180.5,180.5,174.11,174.17,177.7,2812,5.01,2026-09-17
SHIVAUM,EQ,468.15,469.95,468.0,468.05,469.0,439,2.06,2026-09-17
SHK,EQ,133.42,142.85,132.93,138.67,133.42,773894,1073.84,2026-09-17
SHOPERSTOP,EQ,390.65,438.6,390.0,413.3,395.3,835711,3531.46,2026-09-17
SHRADDHA,EQ,154.45,154.45,146.11,150.73,152.97,5141,7.76,2026-09-17
SHRADHA,EQ,31.94,31.95,31.09,31.15,31.49,3241,1.01,2026-09-17
SHREDIGCEM,EQ,67.14,67.98,66.1,67.42,66.19,58327,39.02,2026-09-17
SHREECEM,EQ,21760.0,22080.0,21685.0,21960.0,21795.0,15117,3310.28,2026-09-17
SHREEJISPG,EQ,688.35,697.55,680.3,691.0,690.2,1140193,7846.9,2026-09-17
SHREEPUSHK,EQ,506.65,522.85,502.7,512.5,506.95,69346,355.83,2026-09-17
SHREERAMA,EQ,44.41,44.75,43.91,44.36,43.98,14020,6.22,2026-09-17
SHREYANIND,EQ,126.25,129.75,125.82,128.01,127.48,5027,6.43,2026-09-17
SHRIKRISH,EQ,34.01,40.0,34.01,34.04,34.0,527,0.18,2026-09-17
SHRINGARMS,EQ,209.49,213.5,209.35,211.74,209.49,131415,278.52,2026-09-17
SHRIPISTON,EQ,4332.0,4433.7,4276.1,4385.4,4309.3,47628,2081.61,2026-09-17
SHRIRAMFIN,EQ,979.0,1005.5,978.3,995.0,979.0,4285999,42585.45,2026-09-17
SHRIRAMPPS,EQ,70.5,74.4,70.41,72.91,70.57,255885,183.68,2026-09-17
SHRJAGP,EQ,643.05,660.6,641.05,642.5,637.15,325,2.12,2026-09-17
SHUKRAPHAR,EQ,54.58,55.79,54.06,54.24,54.6,2008697,1093.13,2026-09-17
SHYAMMETL,EQ,1050.0,1093.9,1045.4,1077.0,1048.0,439035,4742.72,2026-09-17
SHYAMTEL,EQ,11.42,11.44,10.56,11.09,11.2,1777,0.2,2026-09-17
SICAGEN,EQ,52.41,53.29,52.0,52.22,52.41,7334,3.84,2026-09-17
SIEMENS,EQ,3743.1,3817.4,3742.0,3763.5,3742.0,373967,14142.36,2026-09-17
SIGACHI,EQ,27.58,31.24,27.58,29.33,31.16,12942255,3827.94,2026-09-17
SIGMA,EQ,46.48,46.94,45.7,46.24,45.6,78093,36.1,2026-09-17
SIGNATURE,EQ,753.6,793.3,745.0,755.3,752.5,647926,4961.23,2026-09-17
SIGNPOST,EQ,261.85,264.0,256.2,262.15,263.55,46904,122.51,2026-09-17
SIKA,EQ,1063.0,1063.0,1021.0,1027.05,1052.2,25819,268.3,2026-09-17
SIL,EQ,16.27,16.9,15.6,16.63,16.52,112890,18.32,2026-09-17
SILGO,EQ,70.62,71.57,70.0,70.18,71.04,12245,8.64,2026-09-17
SILINV,EQ,435.0,449.7,431.0,438.4,440.1,462,2.02,2026-09-17
SILVER,EQ,226.44,227.33,224.75,226.36,228.18,521415,1178.28,2026-09-17
SILVER001,EQ,23.67,23.67,22.75,22.94,23.12,15756,3.6,2026-09-17
SILVER1,EQ,22.0,22.1,21.84,21.98,22.2,13186412,2894.57,2026-09-17
SILVER360,EQ,220.2,224.3,220.2,223.42,225.16,5530,12.33,2026-09-17
SILVERADD,EQ,22.0,22.0,21.68,21.84,22.04,4411434,962.08,2026-09-17
SILVERAG,EQ,221.0,221.51,218.97,220.74,222.76,296566,653.74,2026-09-17
SILVERAXIS,EQ,225.1,226.37,223.71,225.27,227.04,265264,597.86,2026-09-17
SILVERBEES,EQ,216.01,217.58,215.17,216.64,218.46,13737345,29713.12,2026-09-17
SILVERBETA,EQ,219.0,219.7,217.13,218.54,220.69,763766,1666.62,2026-09-17
SILVERBND,EQ,227.58,228.09,226.0,227.01,229.24,5427,12.29,2026-09-17
SILVERCASE,EQ,22.98,23.07,22.8,22.95,23.16,5225578,1199.06,2026-09-17
